utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,PopulationFemale,Beer,NoHealthInsurance,DrinkingPlaces,Cases,Neighbor_Disadvantage
1264304.199,3916813.595,-114.623754,35.103767,140.3,53534.91633,2075.13,43.324298,382.69,245.586822,265,-0.085453
1649009.937,4032379.947,-110.32226,35.760414,149.5,3903.715004,1076.15,6.674027,249.84,66.490293,135,8.995153
1638578.493,3634213.59,-110.949372,32.26412,295.1,727035.2582,11559.76,251.30407,2059.3,1219.377218,2642,-4.025224
1569175.027,3736287.996,-111.554658,33.234506,262.9,115722.1989,3664.6,73.163158,672.68,328.891341,1022,0.146899
1676714.716,3559313.508,-110.643677,31.56525,152.9,8329.680782,521.64,15.879055,106.3,19.693483,58,7.982958
1474316.631,3905828.136,-112.366388,34.826834,132.6,33388.40876,2143.2,43.147099,412.41,220.416735,278,-14.645732
1289230.913,3647264.986,-114.594268,32.680498,163.2,132833.5924,2220.16,52.569979,529.77,182.197399,286,15.541122
3473762.205,4296924.82,-91.21635,34.349886,260.8,997.004183,265.63,22.725548,27.37,17.1874,38,0.922047
3447586.421,4151442.521,-91.914274,33.299483,138.6,601.937834,358.44,14.010182,53.34,7.698348,23,0.097837
3284138.058,4484512.771,-92.3816,36.308297,106.1,2320.09345,465.6,9.540487,45.9,10.773552,39,-3.233826
3114380.475,4431932.702,-94.195692,36.346352,120,53155.14646,2464.84,106.269816,455.4,292.94176,273,-21.127954
3226293.936,4472710.339,-92.977134,36.372565,76.1,2277.63908,355.75,7.684956,47.88,15.214791,24,-1.282543
3412199.916,4184306.653,-92.140199,33.644146,134.8,190.629087,263.93,3.505851,56.73,4.567622,12,1.249191
3390088.001,4163933.272,-92.407057,33.542677,179.7,16.55653,99.41,5.982599,18.56,1.843959,8,-0.404368
3185821.947,4441852.299,-93.469359,36.238533,229.5,422.81735,255.45,10.377352,57.45,15.020727,55,-1.741664
3508423.917,4170094.857,-91.299499,33.286022,337.3,311.333811,203.9,3.779508,37,3.700053,29,2.361064
3280466.412,4204215.572,-93.30935,34.133292,150.4,2513.68568,266.44,11.941684,43.47,8.316404,29,-1.412509
3466867.397,4559811.414,-90.387595,36.37404,73.1,714.557399,302.37,10.469981,38.99,5.473037,9,1.310455
3352142.883,4405191.083,-91.998781,35.510075,110.2,791.62178,352.68,27.339969,55.43,9.524458,24,-1.958417
3404048.036,4203727.353,-92.155977,33.815391,132.7,27.5062,101.08,5.022037,11.22,4.365799,9,-0.000984
3318801.48,4104250.155,-93.247109,33.255511,170.4,1796.17702,257.54,7.334717,35.97,7.001168,34,2.821931
3284984.587,4330861.769,-92.875065,35.111303,154.4,432.32888,306.53,28.73391,40.17,14.311378,27,0.141585
3462265.004,4488370.904,-90.681947,35.844015,180.8,19027.98602,873.28,33.230593,151.71,65.883396,164,1.261947
3133550.961,4324870.536,-94.344003,35.451495,108.6,5884.43708,559.13,27.488664,91.89,36.880521,57,-0.692903
3542402.778,4425665.268,-90.154121,35.14182,557.3,20536.97362,932.18,32.98829,151.91,62.63953,215,9.251217
3480504.453,4414470.089,-90.765079,35.229859,250.2,1182.267702,308.7,21.56089,48.19,12.118061,34,0.740477
3498688.109,4242455.687,-91.161473,33.866174,192.4,108.8683,158.49,6.813835,18.05,2.303106,18,4.584051
3439505.168,4185931.096,-91.882993,33.586464,157.6,419.514296,259.8,10.776329,27.63,6.483827,24,0.212508
3342065.563,4367040.568,-92.218844,35.242036,158.5,24973.22452,1280.84,82.779158,219.52,83.896174,167,-5.79633
3170874.032,4358741.21,-93.878696,35.624244,86.8,130.22197,150.73,10.014875,16.37,7.526713,13,-0.09811
3320267.697,4506207.864,-91.962564,36.377212,131,39.55559,99.67,2.73957,23.43,1.597083,14,-0.108666
3295063.692,4245105.216,-93.047366,34.416188,247.1,15240.76317,1046.87,78.399042,228.27,113.783794,211,2.245859
3345742.86,4246390.018,-92.567293,34.296421,135.8,393.57998,201.28,15.542997,18.21,11.633902,21,0.004138
3465571.574,4532860.47,-90.49534,36.173074,98.6,4246.58252,460.94,19.085674,66.29,19.679671,37,0.5123
3260684.483,4162408.533,-93.620451,33.854582,142.6,1181.8866,261.72,5.145044,44.21,7.803552,25,0.218773
3282581.888,4230252.27,-93.210482,34.331756,217.2,1681.57186,338.76,26.78155,54.07,13.64773,63,-0.247843
3230392.702,4155863.463,-93.925394,33.877461,158.6,605.30152,156.14,4.36548,26.1,3.537229,17,0.486444
3387799.939,4429122.643,-91.582858,35.597624,147,1092.58606,410.42,11.604788,68.51,19.342685,46,-0.801065
3333282.332,4480005.291,-91.92754,36.139118,151.4,113.3443,191.8,3.020161,25.41,6.02382,18,-0.343984
3418718.458,4464106.557,-91.173693,35.780776,271.4,445.11164,246.42,9.617981,39.19,12.546646,39,1.630313
3397274.356,4256823.096,-92.053554,34.243662,506.5,22183.87404,1199.49,69.309775,164.73,32.913233,287,26.467176
3199960.982,4349287.05,-93.628447,35.475367,54.7,815.92735,304.09,6.839529,64.09,7.059473,12,0.015307
3284918.335,4082863.15,-93.625262,33.170435,138.2,34.01302,98.03,2.941887,16.65,2.69856,8,0.613861
3424965.773,4489699.723,-91.027145,35.959132,79.4,813.869787,300.69,6.309891,43.63,6.206899,11,0.282382
3512524.295,4367777.901,-90.625602,34.785605,530.8,297.657182,170.76,8.057583,28.2,7.180976,41,2.004989
3443592.245,4229251.485,-91.710579,33.909868,338.8,232.624213,182.27,13.756316,26.5,4.429953,39,0.06152
3231100.196,4125861.616,-94.006129,33.639257,154,113.50128,208.9,3.376812,23.75,5.799249,16,0.540405
3221489.582,4331982.009,-93.476388,35.284267,76.4,801.19668,303.6,4.565296,40,15.964364,14,-0.038974
3407133.287,4324019.796,-91.747476,34.736278,119.2,6378.038132,808.55,84.984907,123.87,61.903138,72,-3.350684
3160720.354,4429675.194,-93.751926,36.208572,94.2,159.7661,203.29,6.305111,38.84,9.699558,13,0.037235
3266334.988,4474863.821,-92.584648,36.281656,131.4,156.97136,207.52,3.369605,22.63,2.970436,19,0.060526
3235294.279,4101634.217,-94.036511,33.438051,330.5,15218.22302,565.15,32.862381,106.58,43.383211,119,4.993398
3533475.525,4528058.951,-89.879022,35.941338,250.8,2999.7536,616.15,43.33986,97.82,15.264273,83,7.569564
3470615.61,4328882.473,-91.141523,34.603114,336.5,48.912558,160.52,19.795327,26.28,5.262949,19,1.365944
3244241.062,4252423.532,-93.505557,34.602279,76.1,38.88949,149.63,16.911555,28.63,4.662649,6,0.225398
3302200.865,4152964.469,-93.258631,33.677803,173.9,46.347703,146.25,3.950678,27.21,3.362978,12,0.815888
3350344.653,4172431.687,-92.750669,33.709307,249.7,1614.49161,314.9,6.274237,43.66,5.412835,49,2.096545
3293073.895,4312916.176,-92.855125,34.950385,113.7,69.918111,151.33,8.392494,15.29,3.772684,10,-0.194843
3508849.578,4305163.068,-90.866142,34.318367,353.2,1099.920179,322.31,18.576819,47.76,6.092101,51,6.695726
3255540.211,4184185.538,-93.604327,34.038356,77,56.614901,152.58,25.783328,27.8,4.374791,7,-0.910743
3486733.509,4474820.887,-90.500527,35.671795,97.4,1446.431484,362.37,16.899272,85.93,10.169109,19,1.937175
3191740.263,4230697.366,-94.070632,34.562555,83.3,350.75783,308.41,5.512469,62.57,3.884703,14,1.069932
3252632.027,4340674.295,-93.151669,35.271973,100.7,5252.491495,559.82,19.739396,91.82,18.39973,54,-0.322116
3419893.307,4328569.532,-91.613731,34.737211,188.8,38.01639,149.84,18.271078,24.63,3.753066,13,0.389245
3348248.189,4303594.572,-92.364291,34.73404,606.7,180145.6518,4846.52,410.543414,777.23,422.240848,1979,10.741438
3423649.059,4537569.061,-90.87292,36.328468,93.1,665.99519,201.69,2.981817,28.39,4.401279,14,0.25536
3468531.255,4381388.422,-90.987431,35.010401,264.6,1555.48544,285.31,16.499796,50.02,20.663524,56,3.090411
3352678.521,4288314.874,-92.371064,34.603949,121.8,13930.50312,1069.99,150.261677,120.16,81.293521,125,-5.67948
3172781.114,4271126.896,-94.13018,34.928714,93.8,250.036247,146.46,3.189772,26.97,3.151086,8,1.141903
3132022.966,4315374.515,-94.387828,35.380201,195.5,46454.07482,1322.68,57.336511,276.57,148.561499,207,1.385044
3182568.508,4156196.444,-94.377488,33.996328,89.1,963.24747,197.77,3.298207,63.46,3.361029,12,0.204507
3371278.406,4499928.261,-91.498776,36.187518,67.5,203.08193,204.83,2.169814,27.43,4.17204,10,0.32476
3312742.431,4439792.691,-92.257844,35.884142,91.7,54.00786,100.65,0.94071,14.72,1.365257,10,-0.137013
3359517.844,4108456.461,-92.856332,33.187868,340.3,3905.70929,516.68,26.119578,81.05,25.456473,109,2.163669
3288702.898,4388315.837,-92.655564,35.548922,83.8,57.34165,150.3,4.527354,33.24,3.135237,12,0.786887
3124146.894,4416540.044,-94.149375,36.199696,178.7,53391.8906,1602.35,76.83025,366.08,229.432932,353,-3.939335
3368535.658,4365450.661,-91.97463,35.159043,114.1,4259.62183,668.76,25.377115,109.87,19.780303,75,0.169107
3444836.003,4390187.177,-91.178595,35.142663,257.6,22.20006,108.35,1.161073,11.92,2.212873,14,0.946133
3234007.225,4304867.077,-93.441435,35.03958,152.5,563.374934,301.01,6.894721,45.61,5.716238,27,0.652153
591760.305,4153937.027,-121.9615,37.527844,428.6,3981097.178,18242.41,1107.278964,1595.17,2461.165045,6094,-27.422893
739210.0846,4269553.104,-120.255331,38.54225,519.6,993.37335,423.91,6.779077,47.42,65.984961,184,-2.085675
628785.8149,4360988.477,-121.504539,39.388784,132.6,112975.8654,2580.96,83.809296,313.98,266.899439,248,9.890428
721460.2612,4223132.921,-120.473364,38.1289,118,598.850745,496.67,15.390752,39.4,71.433292,48,-2.225504
561978.4134,4328859.312,-122.283172,39.106677,103.7,107.774041,193.66,13.705515,38.11,19.689365,18,1.263888
559544.9415,4199357.57,-122.322348,37.939848,274.9,1089405.707,10616.07,465.52517,1059.35,1533.402081,2671,-35.971084
414720.8842,4603976.456,-124.023062,41.58293,143.7,8169.658566,336.29,8.463217,46.65,27.685695,34,3.667722
739194.4617,4289930.386,-120.248502,38.725681,128.8,41978.55731,2046.56,68.979989,212.26,427.886232,215,-15.314596
786312.8349,4071166.742,-119.793375,36.74307,259.2,850764.5756,9628.3,393.453024,1570.37,717.215062,2056,172.270512
567909.3691,4374936.576,-122.209926,39.521392,95.7,2330.819333,289.58,11.51418,50.47,23.381938,22,1.661678
436001.1845,4504024.046,-123.757369,40.684624,188.3,37468.43834,1446.18,41.671488,258.2,165.636847,221,2.426759
1205321.353,3639609.085,-115.486684,32.668693,252.1,78076.13041,1335.16,35.827441,209.96,80.246432,360,31.233345
1028756.187,4027929.251,-117.117631,36.251518,150.4,1934.083338,242.81,11.903826,26.56,38.434352,23,-2.005627
857400.0243,3918398.01,-119.06781,35.34494,250.5,543879.4692,7266.77,283.622006,1142.08,676.596262,1784,115.522594
775623.7311,4022988.354,-119.930133,36.312528,156.8,58397.91991,1221.5,41.983846,192.86,107.529745,192,15.94059
519882.3787,4302562.111,-122.770803,38.871682,264,9984.00961,749.7,12.068345,107.8,56.295536,144,4.654542
671962.9909,4486628.387,-120.97024,40.512563,111.9,1438.710827,378.38,3.562202,45.98,33.27579,30,-0.66891
