UTM_Easting,UTM_Northing,X,Y,Five_ave_crime,PopulationDensity,PopulationFemale,Population65,NoHealthInsurance,X.Black,Neighbor_Disadvantage,X.Immigrants,Beer,MentalHealthPati,NatureParks,Casinos,DrinkingPlaces,ReligiousPlaces
4172767.359,4312193.007,-85.006312,32.474319,8771.270057,14390.73187,678.46,199.2,156.86,581.11,5.704339049,40.6656627,26.436849,9.289015,223.853503,12.190783,38.026261,168.090448
3989748.678,4414076.255,-86.200866,33.751917,4668.508287,3284.11402,652.14,220.18,116.46,114.97,-1.302016917,23.2424281,11.986526,25.605642,258.279233,14.441786,49.732666,237.132622
3950192.604,4343549.589,-86.793157,33.358377,17213.10811,44719.02741,2424.09,707.9,325.48,574.27,-20.46795378,261.7614721,62.163814,160.881629,1314.465568,46.496631,216.123797,1055.802939
3828822.146,4227049.833,-88.247798,32.850612,1901.293772,52.475309,214.61,86.63,48.76,270.93,2.426180153,4.6380276,3.465788,2.016407,28.282817,6.557581,15.850309,32.697917
4013727.922,4361540.277,-86.181643,33.301196,22290.25693,8934.8509,1140.87,382.07,214.04,772.83,10.39778788,32.523691,15.888705,12.785075,324.83228,35.324952,46.432355,330.367688
4092741.735,4321195.05,-85.649304,32.77661,3912.295344,998.26978,518.4,214.14,80.7,301.59,3.651447625,12.1567932,6.145916,8.957657,96.961845,19.54274,27.771381,127.790692
3898779.597,4318365.848,-87.327522,33.324315,33295.88288,71166.58166,2432.21,612.17,374.2,1655.11,15.85698726,193.6223008,102.546562,89.765002,1306.858156,48.285658,340.106194,1250.306775
3871544.959,4393382.787,-87.304314,33.952927,20283.70547,2503.22764,918.16,343.72,220.21,117.22,3.933737053,29.0973779,10.481508,26.98574,253.678292,13.368309,39.893185,395.327162
3911591.475,4064095.216,-88.053624,31.417921,2592.48372,83.036808,252.37,92.91,49.39,113.45,0.739965374,12.1959226,1.575356,0.779365,30.482796,6.378781,5.39008,45.459459
3944316.913,4174633.321,-87.41633,32.14173,2235.029996,30.296367,102.5,43.43,22.99,140.28,1.561976615,1.638419,0.592929,1.623393,10.188908,2.353377,2.28291,15.330149
3855102.397,4411304.219,-87.385555,34.132591,1212.417979,372.62932,356.5,146.24,82.17,4.08,0.975238488,9.4688948,5.522667,4.434632,80.696113,3.493434,9.17029,88.305508
1758231.892,4008156.019,-109.184475,35.416491,355.0242047,978.059264,347.4,132.88,117.95,6.61,2.109406557,16.1929254,2.171438,2.873202,57.707576,24.439488,9.961988,41.610373
1714812.055,3561668.767,-110.24907,31.546888,17516.8602,25280.39202,1488.23,645.92,241.46,118.8,2.27739689,311.7366048,15.586582,29.352893,593.356387,46.38696,122.728815,276.323774
1586268.047,4019105.11,-111.01837,35.714053,8280.956772,34446.34533,1194.61,344.87,254.54,25.3,-3.460120112,113.4583681,28.808628,22.541896,740.608712,80.193603,169.698706,208.920121
1557937.911,3860434.622,-111.525429,34.343019,8766.475708,2819.513384,653.93,429.41,126.58,8.97,-1.345790688,53.6902734,10.781453,4.599563,173.502997,85.770741,39.097039,117.468679
1719663.467,3758910.842,-109.947699,33.275953,3106.988169,5601.539594,359.28,114.21,40.25,18.44,-0.181155685,27.7808622,3.257437,2.564035,146.504335,11.124462,18.390819,162.491353
1780715.691,3732885.672,-109.346176,32.978057,445.3237849,33.34649,43.44,2.16,3.96,3.36,-0.77222686,2.9189978,0.242484,0.221488,17.193639,2.467294,3.232697,10.302462
1329205.806,3820918.061,-114.013445,34.1987,6302.343216,2010.678405,290.3,277.37,69.09,6.17,-0.045882336,56.7551758,3.830234,1.862053,87.122174,66.040734,28.255002,39.710248
1509076.312,3764948.229,-112.155854,33.54579,105874.2892,4520601.597,45574.54,14518.54,9564.95,4860.32,-116.2921063,13216.40907,1145.511689,1574.464577,33433.4512,3375.789468,6572.468879,12316.56595
1264304.199,3916813.595,-114.623754,35.103767,36774.16856,53534.91633,2075.13,1274.3,382.69,49.42,-0.085453458,272.2097365,43.324298,46.138709,867.28264,587.250059,245.586822,303.216419
1649009.937,4032379.947,-110.32226,35.760414,8991.770566,3903.715004,1076.15,468.05,249.84,25.09,8.995152588,78.0407571,6.674027,15.812176,372.143933,89.493952,66.490293,205.640918
1638578.493,3634213.59,-110.949372,32.26412,211109.0199,727035.2582,11559.76,4615.27,2059.3,741.8,-4.025224079,2895.130653,251.30407,333.306427,6645.38667,873.42232,1219.377218,2379.179961
1569175.027,3736287.996,-111.554658,33.234506,36407.06539,115722.1989,3664.6,1679.04,672.68,279.84,0.146899079,690.2170456,73.163158,71.62535,1637.840617,251.84351,328.891341,786.036171
1676714.716,3559313.508,-110.643677,31.56525,1948.924265,8329.680782,521.64,205.17,106.3,11.23,7.98295808,333.6341342,15.879055,5.984707,107.852058,24.306166,19.693483,58.440382
1474316.631,3905828.136,-112.366388,34.826834,23408.6162,33388.40876,2143.2,1307.03,412.41,27.73,-14.64573215,261.1371796,43.147099,63.014099,899.094732,169.155975,220.416735,361.473216
1289230.913,3647264.986,-114.594268,32.680498,23829.69716,132833.5924,2220.16,1018.41,529.77,106.99,15.54112244,985.4933202,52.569979,22.64448,722.263923,193.102111,182.197399,342.893778
3473762.205,4296924.82,-91.21635,34.349886,3282.506327,997.004183,265.63,96.86,27.37,140.57,0.922046596,4.465723,22.725548,0.792255,84.864893,4.975439,17.1874,116.922947
3447586.421,4151442.521,-91.914274,33.299483,7646.881655,601.937834,358.44,137.16,53.34,183.23,0.097836705,15.4528433,14.010182,7.757437,82.408552,4.263049,7.698348,164.600634
3284138.058,4484512.771,-92.3816,36.308297,15154.82773,2320.09345,465.6,281.38,45.9,1.32,-3.233826412,15.0713392,9.540487,5.777902,97.108832,5.796695,10.773552,143.344048
3114380.475,4431932.702,-94.195692,36.346352,11911.26247,53155.14646,2464.84,708.09,455.4,71.54,-21.12795443,550.9173779,106.269816,45.92242,1293.355505,130.450115,292.94176,928.43647
3226293.936,4472710.339,-92.977134,36.372565,9403.402127,2277.63908,355.75,141.06,47.88,2.29,-1.28254269,5.6360039,7.684956,4.587637,60.387226,6.712522,15.214791,123.360607
3412199.916,4184306.653,-92.140199,33.644146,2127.80786,190.629087,263.93,92.55,56.73,146.21,1.249190642,39.5328351,3.505851,3.968134,43.806539,2.4504,4.567622,61.961465
3390088.001,4163933.272,-92.407057,33.542677,2319.903068,16.55653,99.41,42.81,18.56,43.61,-0.404367571,2.1236019,5.982599,1.464787,15.656411,2.508834,1.843959,26.029896
3185821.947,4441852.299,-93.469359,36.238533,3979.639907,422.81735,255.45,119.07,57.45,5.09,-1.74166413,38.9066605,10.377352,1.098482,42.134057,5.199951,15.020727,48.414198
3508423.917,4170094.857,-91.299499,33.286022,3049.480731,311.333811,203.9,79.64,37,225.98,2.361064295,8.7932998,3.779508,1.287817,43.995255,1.976901,3.700053,60.537755
3280466.412,4204215.572,-93.30935,34.133292,2107.663668,2513.68568,266.44,81.66,43.47,121.01,-1.41250877,14.2396976,11.941684,5.755973,72.966419,7.927606,8.316404,120.743685
3466867.397,4559811.414,-90.387595,36.37404,2712.168735,714.557399,302.37,128.11,38.99,3.88,1.310454738,4.9507228,10.469981,2.026123,83.34392,3.648302,5.473037,95.143413
3352142.883,4405191.083,-91.998781,35.510075,11305.05347,791.62178,352.68,198.43,55.43,2.39,-1.958417093,8.3563891,27.339969,3.361445,74.045489,5.696975,9.524458,111.099215
3404048.036,4203727.353,-92.155977,33.815391,2623.295004,27.5062,101.08,40.54,11.22,24.96,-0.000984079,1.9486042,5.022037,3.798867,23.811396,2.14557,4.365799,46.035527
3318801.48,4104250.155,-93.247109,33.255511,1618.660502,1796.17702,257.54,87.92,35.97,185.77,2.821931414,7.2343243,7.334717,1.825848,82.225645,10.6263,7.001168,129.455942
3284984.587,4330861.769,-92.875065,35.111303,8808.817212,432.32888,306.53,113.99,40.17,61.85,0.141584881,14.7905727,28.73391,1.876201,99.332448,4.273376,14.311378,120.538148
3462265.004,4488370.904,-90.681947,35.844015,5907.285603,19027.98602,873.28,230.87,151.71,251.09,1.26194693,65.9195358,33.230593,45.736547,505.051249,18.784524,65.883396,374.086797
3133550.961,4324870.536,-94.344003,35.451495,6654.965065,5884.43708,559.13,181.76,91.89,20.07,-0.692903283,48.6413894,27.488664,12.89911,156.875278,8.839941,36.880521,374.139017
3542402.778,4425665.268,-90.154121,35.14182,15740.71544,20536.97362,932.18,237.64,151.91,877.71,9.25121739,34.393903,32.98829,14.939215,321.126199,74.837291,62.63953,263.795804
3480504.453,4414470.089,-90.765079,35.229859,5525.407492,1182.267702,308.7,118.24,48.19,114.04,0.740477446,1.5751623,21.56089,12.296768,104.8613,7.115401,12.118061,85.651783
3351599.504,4214589.644,-92.610649,34.034181,906.2375382,181.474811,147.8,73.12,23.77,111.26,0.203782993,0.6766625,5.065029,8.404356,21.555768,2.2874,2.312117,53.97213
3498688.109,4242455.687,-91.161473,33.866174,0,108.8683,158.49,49.8,18.05,183.53,4.584051238,9.1906102,6.813835,0.659962,43.546132,1.86622,2.303106,67.900394
3439505.168,4185931.096,-91.882993,33.586464,3236.808001,419.514296,259.8,85.95,27.63,148.37,0.212507839,6.8442544,10.776329,14.173803,104.005824,3.478328,6.483827,101.574351
3342065.563,4367040.568,-92.218844,35.242036,21143.83144,24973.22452,1280.84,316.16,219.52,308.56,-5.79633045,75.0326644,82.779158,19.331743,700.015034,23.977727,83.896174,610.791973
3170874.032,4358741.21,-93.878696,35.624244,3147.519384,130.22197,150.73,57.04,16.37,3.15,-0.098109564,3.7454056,10.014875,0.904975,37.564541,2.012145,7.526713,51.385752
3320267.697,4506207.864,-91.962564,36.377212,1397.839132,39.55559,99.67,52.01,23.43,0.83,-0.108665599,3.1960093,2.73957,0.365453,22.187189,0.848118,1.597083,21.174607
3295063.692,4245105.216,-93.047366,34.416188,37612.06904,15240.76317,1046.87,463.67,228.27,212.54,2.245858827,88.7109252,78.399042,49.077402,385.994514,86.703151,113.783794,368.583757
3345742.86,4246390.018,-92.567293,34.296421,4713.061056,393.57998,201.28,72.74,18.21,9.57,0.004137698,7.5859237,15.542997,3.232952,90.602485,5.691636,11.633902,121.527642
3465571.574,4532860.47,-90.49534,36.173074,4658.151572,4246.58252,460.94,137.93,66.29,16.71,0.512300469,7.8838639,19.085674,9.191082,142.650113,6.484575,19.679671,123.473466
3260684.483,4162408.533,-93.620451,33.854582,4768.819878,1181.8866,261.72,93.5,44.21,154.46,0.218773424,20.9538222,5.145044,3.564241,70.100032,5.606501,7.803552,90.132428
3282581.888,4230252.27,-93.210482,34.331756,2543.3611,1681.57186,338.76,134.36,54.07,97.39,-0.247843282,11.808848,26.78155,6.267178,85.359073,15.334887,13.64773,200.692646
3230392.702,4155863.463,-93.925394,33.877461,1431.692537,605.30152,156.14,53.06,26.1,60.69,0.486444421,19.0671305,4.36548,0.608883,40.611476,3.406922,3.537229,45.778918
3387799.939,4429122.643,-91.582858,35.597624,14277.26741,1092.58606,410.42,137.87,68.51,15.83,-0.801064769,22.4076377,11.604788,4.782352,201.434685,6.992474,19.342685,162.401149
3333282.332,4480005.291,-91.92754,36.139118,8367.127668,113.3443,191.8,99.79,25.41,6.7,-0.343983852,4.2472979,3.020161,0.547638,22.879895,1.616292,6.02382,29.862898
3418718.458,4464106.557,-91.173693,35.780776,5022.920365,445.11164,246.42,91.17,39.19,56.25,1.630313471,1.9438328,9.617981,1.990857,84.268909,2.713517,12.546646,69.998245
3397274.356,4256823.096,-92.053554,34.243662,15961.9393,22183.87404,1199.49,397.21,164.73,1481.09,26.46717592,31.5593539,69.309775,21.785623,249.307474,17.29235,32.913233,498.102549
3199960.982,4349287.05,-93.628447,35.475367,4938.464372,815.92735,304.09,97.02,64.09,10.84,0.015306755,61.9992557,6.839529,3.163854,56.30841,2.605133,7.059473,64.793729
3284918.335,4082863.15,-93.625262,33.170435,0,34.01302,98.03,46.75,16.65,69.85,0.613861377,4.6006436,2.941887,0.650565,12.14218,6.518155,2.69856,42.453299
3424965.773,4489699.723,-91.027145,35.959132,2240.533078,813.869787,300.69,114.11,43.63,6.46,0.282381644,5.0205696,6.309891,5.376239,113.742754,4.352527,6.206899,91.405057
3512524.295,4367777.901,-90.625602,34.785605,4135.649732,297.657182,170.76,79.49,28.2,196.86,2.004988611,8.2606065,8.057583,2.274386,34.292749,5.816942,7.180976,61.772421
3443592.245,4229251.485,-91.710579,33.909868,2314.165824,232.624213,182.27,74.75,26.5,86.09,0.06152009,6.6011794,13.756316,18.164178,30.130172,2.66463,4.429953,95.823614
3231100.196,4125861.616,-94.006129,33.639257,3274.728491,113.50128,208.9,81.74,23.75,89.17,0.54040481,1.7551442,3.376812,1.597257,29.590845,4.313385,5.799249,81.829605
3221489.582,4331982.009,-93.476388,35.284267,6376.997784,801.19668,303.6,118.81,40,8.29,-0.03897376,8.5716705,4.565296,1.124584,120.891533,2.971497,15.964364,145.725706
3407133.287,4324019.796,-91.747476,34.736278,11131.61803,6378.038132,808.55,239.29,123.87,135.77,-3.350684164,34.8498859,84.984907,18.341495,427.429499,19.079164,61.903138,404.447935
3160720.354,4429675.194,-93.751926,36.208572,3079.183301,159.7661,203.29,76.76,38.84,1.34,0.037234666,14.3062117,6.305111,3.115009,37.99729,6.154967,9.699558,68.397563
